#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T16:07:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5defc2ae0d20 
#INFO -out.max=unlimited 
#INFO queryParameters=17 
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/ApJ/795/149/table1,J/ApJ/795/149/table2
#-nav=cat:J/ApJ/795/149&tab:{J/ApJ/795/149/table1}&tab:{J/ApJ/795/149/table2}&key:source=J/ApJ/795/149&HTTPPRM:&&-ref=VIZ5defc2ae0d20&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=HJD&-out=Obs&-out=FC&-out=e_FC&-out=FHb&-out=e_FHb&-out=FHeII&-out=e_FHeII&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/795/149/table1,J/ApJ/795/149/table2
#-source=J/ApJ/795/149/table1 J/ApJ/795/149/table2
#-out=HJD
#-out=Obs
#-out=FC
#-out=e_FC
#-out=FHb
#-out=e_FHb
#-out=FHeII
#-out=e_FHeII
#
#INFO CatalogsExamined=2 
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_17950149
#Name: J/ApJ/795/149
#Title: Reverberation mapping of the Seyfert 1 NGC 7469 (Peterson+, 2014)
#Table J_ApJ_795_149_table1:
#Name: J/ApJ/795/149/table1
#Title: Continuum Fluxes
#---Details of Columns:
    HJD (d)             (F8.3)  Heliocentric Julian Date (HJD-2450000) [ucd=time.epoch]
    Obs                 (A1)    Observatory code (1) [ucd=meta.code;instr.obsty]
    FC (10-17W/m2/nm)   (F6.3)  Continuum flux at 5100 Angstroms (2) [ucd=phot.flux.density;em.opt]
    e_FC (10-17W/m2/nm) (F6.3)  Uncertainty in FC (2) [ucd=stat.error]
5486.120 T 17.040  0.010
5486.270 C 17.170  0.220
5486.310 W 17.180  0.020
5486.680 S 17.130  0.020
5487.660 S 17.010  0.020
5490.080 T 17.040  0.010
5490.450 C 16.900  0.330
5491.640 S 16.880  0.020
5492.170 W 16.960  0.030
5492.270 C 16.840  0.350
5492.670 S 16.880  0.020
5493.180 W 16.970  0.020
5493.330 C 16.910  0.150
5493.590 S 17.010  0.020
5494.290 C 17.010  0.140
5494.580 S 17.120  0.020
5495.200 W 17.050  0.020
5495.400 C 17.410  0.160
5495.590 S 17.240  0.020
5496.180 W 17.320  0.020
5496.622 M 17.650  0.249
5497.280 W 17.330  0.020
5497.642 M 17.420  0.246
5497.650 S 17.360  0.030
5498.240 W 17.110  0.020
5498.320 C 17.280  0.200
5498.651 M 17.360  0.245
5499.290 C 17.180  0.200
5499.641 M 16.850  0.238
5500.290 C 17.040  0.140
5500.640 S 17.490  0.020
5500.655 M 17.230  0.243
5501.230 C 16.800  0.150
5501.640 S 17.370  0.020
5501.641 M 17.280  0.244
5502.200 W 17.090  0.020
5502.270 C 17.120  0.120
5502.590 S 17.400  0.020
5502.662 M 17.020  0.240
5503.210 W 16.880  0.020
5503.300 C 17.130  0.110
5503.540 S 17.090  0.020
5503.652 M 16.770  0.236
5504.280 W 16.630  0.020
5504.350 C 16.700  0.140
5504.661 M 16.650  0.235
5505.300 W 16.810  0.020
5505.320 C 16.540  0.120
5505.580 S 16.750  0.020
5505.654 M 16.650  0.235
5506.260 C 16.650  0.130
5506.260 W 16.430  0.020
5506.570 S 16.650  0.020
5506.658 M 16.420  0.232
5507.260 C 16.470  0.120
5507.300 W 15.920  0.020
5507.666 M 16.290  0.230
5508.220 W 16.460  0.020
5508.290 C 16.420  0.120
5508.656 M 16.100  0.227
5509.290 W 15.990  0.020
5509.310 C 16.600  0.170
5509.560 S 16.310  0.020
5509.645 M 16.620  0.234
5510.340 C 16.470  0.190
5510.550 S 16.230  0.020
5510.667 M 16.270  0.229
5511.210 W 16.650  0.020
5511.280 C 16.360  0.120
5511.560 S 16.380  0.020
5511.669 M 16.340  0.230
5512.300 C 16.350  0.100
5512.530 S 16.500  0.020
5512.656 M 16.310  0.230
5513.250 C 16.610  0.130
5513.280 W 16.770  0.020
5513.550 S 16.480  0.020
5513.654 M 16.520  0.233
5514.240 C 16.540  0.190
5514.390 W 16.500  0.030
5514.520 S 16.400  0.020
5514.653 M 16.590  0.234
5515.240 C 16.610  0.190
5515.600 S 16.230  0.030
5515.658 M 16.250  0.229
5516.230 C 16.400  0.130
5516.658 M 16.150  0.228
5517.650 M 16.360  0.231
5518.260 C 16.520  0.200
5518.646 M 16.280  0.230
5519.340 C 16.350  0.360
5519.651 M 16.000  0.226
5520.300 C 16.250  0.240
5520.656 M 16.310  0.230
5521.160 W 16.400  0.020
5521.670 M 16.450  0.232
5523.180 W 16.190  0.020
5523.250 C 16.280  0.200
5523.644 M 16.340  0.230
5524.360 W 16.550  0.030
5524.600 S 16.120  0.020
5525.220 C 16.510  0.270
5525.290 W 16.280  0.020
5525.580 S 16.060  0.020
5525.640 M 16.080  0.227
5526.250 W 16.170  0.020
5526.630 S 15.980  0.020
5526.643 M 16.280  0.230
5527.230 W 16.050  0.020
5527.560 S 16.040  0.020
5527.674 M 15.650  0.221
5528.260 W 16.030  0.020
5528.580 S 16.230  0.020
5528.651 M 16.360  0.231
5529.330 W 16.540  0.020
5529.657 M 15.910  0.224
5530.370 W 16.480  0.020
5530.648 M 16.490  0.233
5531.190 W 16.230  0.020
5531.645 M 16.100  0.227
5532.280 W 16.300  0.020
5532.658 M 15.930  0.225
5533.655 M 15.820  0.223
5534.150 C 15.850  0.110
5534.290 W 16.030  0.020
5535.260 W 16.140  0.020
5536.658 M 15.640  0.221
5537.330 W 16.080  0.020
5538.230 C 15.870  0.120
5538.646 M 15.690  0.221
5539.240 C 15.590  0.130
5539.644 M 15.460  0.218
5540.652 M 15.540  0.219
5541.230 W 15.660  0.020
5541.637 M 15.550  0.219
5542.632 M 15.650  0.221
5543.637 M 15.940  0.225
5544.652 M 15.230  0.215
5545.615 M 15.360  0.217
5546.603 M 15.330  0.216
5548.629 M 15.260  0.215
5549.220 C 14.860  0.150
5549.660 M 15.170  0.214
5553.230 C 15.080  0.150
5554.240 C 15.170  0.220
5555.230 C 14.950  0.120
5567.220 C 15.710  0.190
5568.230 C 15.790  0.130

#Table J_ApJ_795_149_table2:
#Name: J/ApJ/795/149/table2
#Title: Emission-Line Fluxes
#---Details of Columns:
    HJD (d)             (F8.3)  Heliocentric Julian Date (HJD-2450000) [ucd=time.epoch]
    FHb (10-16W/m2)     (F6.3)  Integrated H{beta} emission line flux (1) [ucd=phot.flux;em.line.Hbeta]
    e_FHb (10-16W/m2)   (F6.3)  Uncertainty in FHb (1) [ucd=stat.error]
    FHeII (10-16W/m2)   (F6.3)  Integrated He II (4686{AA}) emission line flux (1) [ucd=phot.flux;spect.line]
    e_FHeII (10-16W/m2) (F6.3)  Uncertainty in FHeII (1) [ucd=stat.error]
-------- ------ ------ ------ ------
                              e     
         FHb    e_FHb  FHeII  _FHeII
         (10-1  (10-1  (10-1  (10-1 
HJD (d)  6W/m2) 6W/m2) 6W/m2) 6W/m2)
-------- ------ ------ ------ ------
5440.801  5.203  0.102  1.228  0.096
5441.763  5.398  0.106  1.413  0.111
5443.820  5.331  0.104  1.391  0.109
5445.779  5.286  0.104  1.596  0.125
5446.787  5.491  0.108  1.719  0.135
5447.767  5.688  0.111  1.748  0.137
5449.767  5.624  0.110  1.790  0.140
5450.758  5.788  0.113  1.871  0.147
5452.773  5.778  0.113  1.751  0.137
5454.698  5.734  0.112  1.671  0.131
5455.696  5.717  0.112  2.080  0.163
5456.744  5.943  0.116  2.295  0.180
5457.695  6.145  0.120  1.918  0.150
5469.746  6.009  0.118  2.476  0.194
5470.757  6.066  0.119  2.479  0.194
5471.791  6.376  0.125  2.304  0.181
5472.830  6.209  0.122  2.444  0.192
5473.718  6.130  0.120  2.296  0.180
5477.696  6.343  0.124  2.408  0.189
5478.690  6.136  0.120  2.505  0.196
5479.621  6.218  0.122  2.464  0.193
5480.683  6.251  0.123  2.393  0.188
5481.675  6.224  0.122  2.301  0.180
5482.668  6.330  0.124  2.343  0.184
5485.685  5.944  0.117  2.599  0.204
5496.622  6.268  0.123  2.271  0.178
5497.642  6.400  0.125  2.866  0.225
5498.651  6.382  0.125  3.093  0.242
5499.641  6.261  0.123  2.905  0.228
5500.655  6.801  0.133  3.198  0.251
5501.641  6.514  0.128  2.947  0.231
5502.662  6.580  0.129  3.091  0.242
5503.652  6.554  0.128  3.078  0.241
5504.661  6.786  0.133  2.947  0.231
5505.654  6.838  0.134  2.544  0.199
5506.658  6.833  0.134  2.543  0.199
5507.666  6.885  0.135  2.453  0.192
5508.656  6.688  0.131  2.150  0.169
5509.645  6.602  0.129  1.624  0.127
5510.667  6.762  0.133  2.292  0.180
5511.669  7.186  0.141  2.279  0.179
5512.656  6.867  0.135  2.670  0.209
5513.654  6.507  0.128  2.703  0.212
5514.653  6.784  0.133  2.792  0.219
5515.658  6.699  0.131  2.644  0.207
5516.658  6.604  0.129  2.609  0.205
5517.650  6.647  0.130  2.458  0.193
5518.646  6.398  0.125  2.354  0.185
5519.651  6.605  0.129  2.365  0.185
5520.656  6.234  0.122  2.095  0.164
5521.670  6.641  0.130  2.280  0.179
5523.644  6.394  0.125  2.099  0.165
5525.640  6.382  0.125  2.143  0.168
5526.643  6.442  0.126  2.153  0.169
5527.674  6.195  0.121  2.305  0.181
5528.651  6.263  0.123  2.440  0.191
5529.657  6.184  0.121  2.667  0.209
5530.648  6.317  0.124  2.941  0.231
5531.645  6.345  0.124  2.929  0.230
5532.658  6.457  0.127  2.587  0.203
5533.655  6.323  0.124  2.354  0.185
5536.658  6.377  0.125  2.073  0.163
5538.646  6.749  0.132  2.178  0.171
5539.644  6.612  0.130  1.983  0.155
5540.652  6.624  0.130  2.321  0.182
5541.637  6.448  0.126  1.902  0.149
5542.632  6.744  0.132  2.039  0.160
5543.637  6.625  0.130  2.152  0.169
5544.652  6.466  0.127  2.034  0.159
5545.615  6.317  0.124  1.776  0.139
5546.603  6.465  0.127  2.048  0.161
5548.629  6.308  0.124  1.873  0.147
5549.660  6.211  0.122  1.730  0.136

#END#  -ref=VIZ5defc2ae0d20 ===========================================================================================================================================================================================================================================================================================================================================================================================================
